n,trial,method,config,runtime_sec,rel_error,speedup_vs_numpy,speedup_vs_naive
128,0,NumPy GEMM,optimized,0.0003964000497944653,0.0,1.3579716365440102,16.35342882579862
128,0,Naive GEMM,outer-product,0.003646500001195818,2.5632274961088843e-16,0.14762101307253236,1.7777320715017064
128,0,Strassen,thresh=64,0.0004985000123269856,6.893433568732964e-16,1.0798395406907737,13.00401171626189
128,0,RMM-Uniform,s/n=5.0%,0.00038569996831938624,2.6908063372852933,1.3956444608773406,16.807105349536503
128,0,RMM-Importance,s/n=5.0%,0.0006832000217400491,2.5391133519837847,0.7879098466281007,9.488436467473276
128,0,LR-GEMM-RSVD,r=32,0.012223500001709908,6.095963171062383e-15,0.04403812527264826,0.5303309199451876
128,0,LR-GEMM-Det,r=32,0.09521740005584434,1.1089762457423146e-15,0.005653378731511341,0.06808104397993303
128,1,NumPy GEMM,optimized,0.00028989999555051327,0.0,1.0969299122728817,11.803035632967664
128,1,Naive GEMM,outer-product,0.006744899961631745,2.893242328151497e-16,0.047146729899045364,0.5073018127687824
128,1,Strassen,thresh=64,0.0009468000498600304,9.023459976302416e-16,0.3358681452690509,3.6139626080350546
128,1,RMM-Uniform,s/n=5.0%,0.0004535000189207494,10.80448290214096,0.7012127087533921,7.545093351093835
128,1,RMM-Importance,s/n=5.0%,0.00046690000453963876,3.5598405629322234,0.6810879708615121,7.328549891220617
128,1,LR-GEMM-RSVD,r=32,0.013083000027108938,2.315168742408639e-14,0.024306349921899718,0.2615378713131439
128,1,LR-GEMM-Det,r=32,0.0893742999760434,2.1081598156130104e-15,0.003558069565550416,0.03828505485801908
128,2,NumPy GEMM,optimized,0.00026020000223070383,0.0,1.2820906079859478,15.350499373406391
128,2,Naive GEMM,outer-product,0.00504479999653995,3.3963056445879656e-16,0.06612749351544411,0.7917459510668889
128,2,Strassen,thresh=64,0.0015827000024728477,1.0665581986949082e-15,0.2107790349002866,2.5236620742794775
128,2,RMM-Uniform,s/n=5.0%,0.0003825000021606684,4.786360221200768,0.8721568030678861,10.442352806902743
128,2,RMM-Importance,s/n=5.0%,0.0004140000091865659,5.189698384934128,0.8057970329840592,9.647825803314912
128,2,LR-GEMM-RSVD,r=32,0.011881600017659366,2.0101600227998825e-14,0.028077024858780435,0.3361668432926767
128,2,LR-GEMM-Det,r=32,0.09450720000313595,1.9735319714147388e-15,0.003529889564465337,0.042263446288433315
256,0,NumPy GEMM,optimized,0.0015439999988302588,0.0,2.12376943010553,19.158614028845516
256,0,Naive GEMM,outer-product,0.0324294000165537,6.886609400518963e-16,0.10111503746368572,0.9121630379540535
256,0,Strassen,thresh=64,0.008843899995554239,1.3575760973811133e-15,0.37077533658759787,3.3447800238579077
256,0,RMM-Uniform,s/n=5.0%,0.0011768000549636781,2.4855103251890354,2.786454660473216,25.136725574881
256,0,RMM-Importance,s/n=5.0%,0.0018227000255137682,4.002829821527997,1.7990343730172447,16.229165317419046
256,0,LR-GEMM-RSVD,r=32,0.03926119999960065,2.278542219025969e-13,0.08352011649241571,0.7534385102449171
256,0,LR-GEMM-Det,r=32,0.16138569999020547,4.048843308774818e-15,0.020318404900791627,0.18329319165156596
256,1,NumPy GEMM,optimized,0.0013428999809548259,0.0,2.0205525623117593,21.99396857835209
256,1,Naive GEMM,outer-product,0.02756690001115203,8.887617670504372e-16,0.09842963831076385,1.0714189833837524
256,1,Strassen,thresh=64,0.0070306999841704965,3.2574339937117103e-15,0.3859359670524785,4.200961504756169
256,1,RMM-Uniform,s/n=5.0%,0.0010200999677181244,4.430516715371357,2.6599353821335057,28.953730928017645
256,1,RMM-Importance,s/n=5.0%,0.0020043000113219023,6.80086697270765,1.3537893439700721,14.736167149702448
256,1,LR-GEMM-RSVD,r=32,0.03460730001097545,4.546261218263925e-13,0.07840542303462424,0.8534528835136815
256,1,LR-GEMM-Det,r=32,0.1507949999650009,1.442711475540573e-14,0.017993965304396422,0.19586657377131347
256,2,NumPy GEMM,optimized,0.0032556999940425158,0.0,0.5603096053278506,11.321897000849239
256,2,Naive GEMM,outer-product,0.03807469998719171,6.312435270075738e-16,0.04791107951845994,0.9681153104453809
256,2,Strassen,thresh=64,0.005580600001849234,1.4778369919989965e-15,0.32688241015721703,6.605149981364078
256,2,RMM-Uniform,s/n=5.0%,0.0009559000027365983,3.602757081168879,1.9083585872010007,38.56125106463876
256,2,RMM-Importance,s/n=5.0%,0.001794499985408038,4.466165158938589,1.0165505676017357,20.54093078737661
256,2,LR-GEMM-RSVD,r=32,0.0311447000131011,1.7864175908295164e-13,0.05857176270635109,1.1835304235619315
256,2,LR-GEMM-Det,r=32,0.15610030002426356,6.129964635551598e-15,0.01168607605779298,0.23613471590051635
512,0,NumPy GEMM,optimized,0.00535760005004704,0.0,2.8892227586824,132.55651661136852
512,0,Naive GEMM,outer-product,0.6811474999994971,1.0422431541273557e-15,0.02272532747536371,1.0426299737305849
512,0,Strassen,thresh=64,0.037689799966756254,2.6346912546876205e-15,0.4107026306896605,18.84289119755312
512,0,RMM-Uniform,s/n=5.0%,0.016998799983412027,3.2810634688713174,0.9106113379543891,41.77852558557959
512,0,RMM-Importance,s/n=5.0%,0.006169700005557388,2.712732367916076,2.5089226352287497,115.10848167519114
512,0,LR-GEMM-RSVD,r=32,0.082989499962423,4.545360835367661e-12,0.1865211864575974,8.557525956328156
512,0,LR-GEMM-Det,r=32,0.4061064999550581,5.019928753794693e-15,0.038116356173139056,1.7487649178472202
512,1,NumPy GEMM,optimized,0.007809000031556934,0.0,0.5341785074731399,85.11536653991548
512,1,Naive GEMM,outer-product,0.6497242999612354,9.50895924052527e-16,0.006420261612446486,1.0229968311726008
512,1,Strassen,thresh=64,0.0342786000110209,1.4078063746077418e-15,0.12169108366075744,19.3901121919356
512,1,RMM-Uniform,s/n=5.0%,0.02052620000904426,2.9691806130156047,0.20322319668895275,32.381341880295174
512,1,RMM-Importance,s/n=5.0%,0.0056659000110812485,1.272679038599646,0.7362290145531069,117.30985345598059
512,1,LR-GEMM-RSVD,r=32,0.08723040000768378,3.0733402777280284e-12,0.047820484387866416,7.619658971386492
512,1,LR-GEMM-Det,r=32,0.3601608000462875,6.629134824850003e-15,0.011582048854785644,1.8454698565495133
512,2,NumPy GEMM,optimized,0.020346400036942214,0.0,0.1834968356364611,31.69933250262551
512,2,Naive GEMM,outer-product,0.6510978000005707,9.694827965518746e-16,0.005734161631891858,0.9905843638265984
512,2,Strassen,thresh=64,0.04160380002576858,4.06699872361034e-15,0.08973939931112097,15.502605521682709
512,2,RMM-Uniform,s/n=5.0%,0.014960800006520003,5.6311350040942045,0.24955216443942774,43.11048204115974
512,2,RMM-Importance,s/n=5.0%,0.007215999998152256,9.68879813516895,0.5173919102450775,89.38016909196436
512,2,LR-GEMM-RSVD,r=32,0.08305449999170378,7.350872215828935e-12,0.04495241105232596,7.7655912691893665
512,2,LR-GEMM-Det,r=32,0.3806243999861181,8.790567356270449e-15,0.009808882519115006,1.6944980406563164
1024,0,NumPy GEMM,optimized,0.03340319998096675,0.0,0.9850852627257612,150.27414148500904
1024,0,Naive GEMM,outer-product,5.21164370002225,1.4155547159392342e-15,0.006313747048554238,0.9631581683088615
1024,0,Strassen,thresh=64,0.27040039998246357,5.943759310225331e-15,0.12168990885836625,18.563719581470256
1024,0,RMM-Uniform,s/n=5.0%,0.017048500012606382,4.27628609592867,1.9300818256621064,294.432776858968
1024,0,RMM-Importance,s/n=5.0%,0.02727180003421381,4.722600927892551,1.2065576891826295,184.0596217959382
1024,0,LR-GEMM-RSVD,r=32,0.11582469998393208,0.026452184136492,0.2840931168714148,43.338227516999424
1024,0,LR-GEMM-Det,r=32,1.993378399987705,0.026399508443243205,0.01650715189315522,2.51815570993586
1024,1,NumPy GEMM,optimized,0.03484320000279695,0.0,1.4366275201080396,180.4310367450427
1024,1,Naive GEMM,outer-product,7.7250908999703825,8.713799411388151e-16,0.0064797554696526,0.8138149804869779
1024,1,Strassen,thresh=64,0.35617400001501665,4.370689938590166e-15,0.14054001698758523,17.650908544010708
1024,1,RMM-Uniform,s/n=5.0%,0.022058599977754056,4.036854781579213,2.269260064697145,285.0042480646875
1024,1,RMM-Importance,s/n=5.0%,0.03677910001715645,4.470738551764383,1.361009377317458,170.93389172347634
1024,1,LR-GEMM-RSVD,r=32,0.12095830001635477,0.020526978443268697,0.41383435453274764,51.9748929934489
1024,1,LR-GEMM-Det,r=32,1.967372399987653,0.02050890829172202,0.025443429018807404,3.195528563915496
1024,2,NumPy GEMM,optimized,0.03969090001191944,0.0,1.43434641208356,150.03922305196363
1024,2,Naive GEMM,outer-product,5.375875000027008,1.8261967725901465e-15,0.010589996981733758,1.1077623270614825
1024,2,Strassen,thresh=64,0.3630752000026405,9.647517279603095e-15,0.15680085013807044,16.40208915392254
1024,2,RMM-Uniform,s/n=5.0%,0.016415500023867935,14.016352597002395,3.4680941757295076,362.7785806928081
1024,2,RMM-Importance,s/n=5.0%,0.031745699991006404,5.552396080634728,1.7933294915718494,187.59050207457008
1024,2,LR-GEMM-RSVD,r=32,0.10180090001085773,0.0496029412867267,0.5592337594106925,58.498419949002475
1024,2,LR-GEMM-Det,r=32,2.0110080000013113,0.04982961170736536,0.028309434882619493,2.9612969217515213
